,CHART_DATE,CLOSE,HIGH,LOW,OPEN,VALUE
0,2013-09-02,162.1,165.0,161.1,165.0,53731806.0
1,2013-09-03,162.0,162.8,160.0,162.1,82414995.0
2,2013-09-13,168.5,168.5,165.9,167.5,243766351.0
3,2013-09-04,160.9,162.0,158.0,162.0,151865164.0
4,2013-09-05,164.5,165.0,159.1,159.1,106246687.0
5,2013-09-06,164.5,165.1,162.0,164.4,63575489.0
6,2013-09-09,165.0,166.0,164.4,164.5,153459130.0
7,2013-09-10,167.7,168.9,166.6,167.0,154762899.0
8,2013-09-11,170.0,170.0,168.6,168.9,235215954.0
9,2013-09-12,167.5,171.0,165.0,171.0,132842949.0
10,2013-09-27,172.0,173.7,171.0,172.0,195268452.0
11,2013-09-16,172.5,172.5,168.0,168.5,170571869.0
12,2013-09-17,174.4,175.5,174.0,174.0,195738489.0
13,2013-09-18,174.0,175.0,174.0,175.0,196636495.0
14,2013-09-19,176.1,179.3,175.0,176.6,213715347.0
15,2013-09-20,164.0,179.0,164.0,178.0,105429676.0
16,2013-09-23,172.9,174.2,170.5,170.5,128472466.0
17,2013-09-24,172.0,174.3,171.2,173.0,77072638.0
18,2013-09-25,175.0,175.0,171.6,171.6,127649092.0
19,2013-09-26,170.2,172.0,170.0,170.0,115621608.0
20,2013-10-11,175.0,176.8,173.9,176.5,81599192.0
21,2013-09-30,168.5,173.8,168.4,173.8,83166728.0
22,2013-10-01,168.6,171.0,167.0,167.0,83117193.0
23,2013-10-02,176.1,178.0,170.3,175.0,205035993.0
24,2013-10-03,174.0,175.0,172.2,175.0,149906711.0
25,2013-10-04,174.8,175.2,174.0,175.0,128869773.0
26,2013-10-07,175.2,176.9,174.8,174.8,68436263.0
27,2013-10-08,174.0,176.0,173.7,176.0,47237742.0
28,2013-10-09,172.1,174.4,171.4,174.4,61045389.0
29,2013-10-10,174.8,175.0,173.0,173.2,15777864.0
30,2013-10-29,177.0,178.0,176.8,177.0,35501544.0
31,2013-10-14,172.7,175.0,172.0,172.1,36354205.0
32,2013-10-16,174.0,176.0,172.5,172.7,93399596.0
33,2013-10-17,175.5,176.5,175.0,176.1,128462233.0
34,2013-10-18,176.5,177.5,175.5,176.0,150397870.0
35,2013-10-21,177.8,178.8,176.5,176.5,45628229.0
36,2013-10-22,177.5,178.6,177.0,178.0,107715039.0
37,2013-10-23,181.2,184.0,177.4,178.0,249234272.0
38,2013-10-24,179.0,182.0,179.0,181.2,90736572.0
39,2013-10-25,177.0,180.0,176.9,179.0,138007395.0
40,2013-11-05,177.5,178.5,175.9,175.9,94342143.0
41,2013-11-13,180.2,181.8,177.8,180.9,159949575.0
42,2013-10-30,180.0,180.0,176.7,177.0,38404386.0
43,2013-10-31,177.4,182.0,176.6,177.0,96731232.0
44,2013-11-04,175.0,178.0,173.2,178.0,78716648.0
45,2013-11-06,180.0,181.0,177.0,179.0,87540810.0
46,2013-11-07,180.9,182.0,180.0,180.0,109755807.0
47,2013-11-08,180.0,181.0,179.0,181.0,108400987.0
48,2013-11-11,176.6,180.9,176.3,180.5,122906329.0
49,2013-11-12,181.9,181.9,176.8,177.5,36328571.0
50,2013-11-27,174.0,180.0,173.6,180.0,270815221.0
51,2013-11-14,185.0,186.2,181.1,181.1,88691818.0
52,2013-11-15,182.0,185.0,182.0,183.0,79794185.0
53,2013-11-18,181.0,184.0,180.9,182.0,89558271.0
54,2013-11-19,183.8,184.0,180.0,184.0,44223742.0
55,2013-11-20,180.0,183.0,177.4,183.0,181340859.0
56,2013-11-21,180.0,180.0,174.0,179.0,70995290.0
57,2013-11-22,179.4,180.1,177.0,180.0,62927370.0
58,2013-11-25,171.0,177.0,171.0,176.0,119725181.0
59,2013-11-26,180.0,180.0,171.1,171.1,154372121.0
60,2013-12-11,170.9,170.9,165.0,166.0,57159055.0
61,2013-11-28,180.5,180.7,174.0,174.0,113995336.0
62,2013-11-29,177.1,180.6,177.1,180.6,77619501.0
63,2013-12-02,180.0,181.7,178.1,180.0,72377773.0
64,2013-12-03,175.6,179.9,175.6,177.9,91860993.0
65,2013-12-04,172.5,177.6,172.2,175.6,133767920.0
66,2013-12-05,174.0,176.0,172.5,172.5,63263911.0
67,2013-12-06,170.0,174.0,169.8,174.0,193442473.0
68,2013-12-09,168.0,170.0,165.4,168.0,184664737.0
69,2013-12-10,165.0,170.0,165.0,169.0,112424769.0
70,2013-12-27,173.1,173.2,171.0,172.0,112647742.0
71,2013-12-12,161.0,171.9,161.0,171.9,86637754.0
72,2013-12-13,166.0,166.0,160.7,161.1,149271677.0
73,2013-12-16,173.0,173.0,165.2,166.0,123540682.0
74,2013-12-17,179.8,179.8,171.0,173.0,123056485.0
75,2013-12-18,173.4,177.0,172.5,177.0,104624715.0
76,2013-12-19,171.0,177.0,171.0,174.7,141194360.0
77,2013-12-20,169.7,174.0,167.0,170.5,71097593.0
78,2013-12-23,168.5,172.1,168.5,172.0,69699362.0
79,2013-12-26,170.5,172.0,169.5,172.0,69243813.0
80,2014-01-15,163.5,169.0,163.5,164.5,53052478.0
81,2014-01-02,175.9,176.0,173.2,173.2,27692106.0
82,2014-01-03,172.0,176.0,168.8,176.0,69962710.0
83,2014-01-06,175.0,175.0,170.1,172.0,30290090.0
84,2014-01-07,172.0,174.5,170.5,174.5,74237343.0
85,2014-01-08,169.5,172.0,169.1,172.0,157530801.0
86,2014-01-09,169.0,169.7,168.4,169.6,90894719.0
87,2014-01-10,165.8,170.0,165.8,169.0,54087013.0
88,2014-01-13,167.5,170.0,166.0,166.0,137550213.0
89,2014-01-14,163.5,167.9,162.4,167.9,80210738.0
90,2014-01-29,157.0,160.0,157.0,159.9,112297933.0
91,2014-01-16,166.6,172.0,166.6,168.0,63979838.0
92,2014-01-17,167.0,171.9,167.0,171.9,14706164.0
93,2014-01-20,167.0,170.0,166.0,167.1,17597078.0
94,2014-01-21,168.0,168.0,163.5,167.0,36867397.0
95,2014-01-22,170.0,170.0,165.5,168.0,42541750.0
96,2014-01-23,167.0,172.0,165.2,172.0,29079055.0
97,2014-01-24,164.7,169.0,164.7,168.0,174041622.0
98,2014-01-27,162.4,164.2,162.4,164.0,105392872.0
99,2014-01-28,157.6,164.4,157.6,164.0,141895607.0
100,2014-02-13,151.6,154.5,151.6,153.3,67599780.0
101,2014-01-30,152.0,155.0,151.5,155.0,185921847.0
102,2014-02-03,152.8,155.0,152.8,154.0,157933338.0
103,2014-02-04,151.0,153.0,150.8,152.8,53038328.0
104,2014-02-05,151.6,152.2,150.9,151.0,112057102.0
105,2014-02-06,151.0,152.9,151.0,152.6,91441337.0
106,2014-02-07,152.5,153.0,151.8,152.9,62379442.0
107,2014-02-10,152.5,154.8,152.3,152.7,102601815.0
108,2014-02-11,152.9,154.9,152.2,153.0,124020334.0
109,2014-02-12,152.4,155.0,152.4,153.0,72384378.0
110,2014-02-27,162.6,162.8,159.5,159.6,167237372.0
